ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type	athaliana_eg_homolog_perc_id
AUR62009823	110684312	AT1G30380	ortholog_one2one	83.0769
AUR62009832	110684324	AT3G13800	ortholog_one2one	69.1011
AUR62009841	110684333	AT1G17650	ortholog_one2one	69.697
AUR62009880	110684372	AT1G72640	ortholog_one2many	57.7049
AUR62009921	110684412	AT3G14110	ortholog_one2many	57.3171
AUR62036244	110684675	AT3G45770	ortholog_one2many	70.8556
AUR62034678	110684795	AT1G18370	ortholog_one2many	74.1273
AUR62033664	110684826	AT3G22620	ortholog_many2many	45.1613
AUR62034754	110684864	AT3G27925	ortholog_one2many	75.0572
AUR62004273	110685382	AT3G53900	ortholog_one2many	61.4232
AUR62024107	110685531	AT1G20816	ortholog_one2many	55.0296
AUR62024096	110685547	AT1G76450	ortholog_one2one	49.6183
AUR62007601	110685606	AT5G66440	ortholog_one2many	29.2308
AUR62007810	110685632	AT5G22410	ortholog_one2many	37.2703
AUR62007527	110685747	AT5G04885	ortholog_one2many	64.5963
AUR62007526	110685748	AT5G04885	ortholog_one2many	66.9381
AUR62007540	110685763	AT5G65840	ortholog_one2many	56.7669
AUR62007545	110685768	AT4G37760	ortholog_many2many	70.9677
AUR62007573	110685801	AT2G18360	ortholog_many2many	65.9306
AUR62007578	110685805	AT4G36550	ortholog_one2many	31.9407
AUR62007581	110685808	AT5G66530	ortholog_one2many	64.8903
AUR62007584	110685810	AT3G01190	ortholog_many2many	56.5217
AUR62007620	110685847	AT5G66390	ortholog_many2many	68.0597
AUR62007621	110685850	AT5G66390	ortholog_many2many	75.2266
AUR62007632	110685863	AT4G36360	ortholog_one2many	72.2679
AUR62007720	110685944	AT1G77330	ortholog_one2many	70.3125
AUR62007745	110685969	AT3G25670	ortholog_one2one	47.7823
AUR62007808	110686014	AT5G22410	ortholog_one2many	35.3383
AUR62007866	110686066	AT1G03130	ortholog_many2many	73.4597
AUR62007901	110686099	AT1G13700	ortholog_one2many	63.6704
AUR62033833	110686366	AT1G75720	ortholog_one2many	37.963
AUR62039045	110686400	AT5G08650	ortholog_one2one	77.6642
AUR62033914	110686448	AT1G75750	ortholog_many2many	56.5657
AUR62033916	110686449	AT1G75750	ortholog_many2many	62.6263
AUR62041695	110686939	AT4G25080	ortholog_one2many	64.0244
AUR62013570	110686943	AT5G10390	ortholog_one2one	100
AUR62013570	110686944	AT5G10390	ortholog_one2one	100
AUR62013570	110686945	AT5G10390	ortholog_one2one	100
AUR62001865	110687652	AT1G06980	ortholog_one2many	50.7772
AUR62001130	110687761	AT3G25110	ortholog_many2many	67.0241
AUR62001145	110687786	AT3G25180	ortholog_one2many	44.5896
AUR62001173	110687813	AT5G61750	ortholog_one2one	45.815
AUR62001263	110687880	AT3G48420	ortholog_one2many	69.279
AUR62025717	110687903	AT5G63310	ortholog_one2many	68.2609
AUR62025581	110687986	AT3G48110	ortholog_one2many	69.1736
AUR62001456	110688069	AT1G72510	ortholog_many2many	50.625
AUR62001475	110688084	AT1G72540	ortholog_one2many	47.5664
AUR62001600	110688217	AT2G21530	ortholog_one2many	38.1579
AUR62001678	110688295	AT3G47070	ortholog_one2many	41.1765
AUR62001683	110688300	AT2G29630	ortholog_one2many	85.1852
AUR62020093	110688306	AT5G58910	ortholog_one2many	67.1429
AUR62001749	110688381	AT2G29180	ortholog_one2many	40
AUR62020018	110688385	AT2G29130	ortholog_one2many	63.5274
AUR62001434	110688538	AT5G20820	ortholog_one2many	49.6
AUR62035749	110688726	AT1G75720	ortholog_one2many	38.1395
AUR62015276	110689165	AT1G64740	ortholog_one2many	86.8304
AUR62015319	110689194	AT5G42500	ortholog_many2many	35.7447
AUR62015363	110689232	AT3G21420	ortholog_one2many	63.8889
AUR62015369	110689240	AT2G42110	ortholog_one2many	32.4675
AUR62015532	110689385	AT3G23530	ortholog_many2many	71.875
AUR62039245	110689637	AT3G63200	ortholog_one2many	64.0506
AUR62025391	110689657	AT4G28780	ortholog_one2many	62.4
AUR62025448	110689717	AT5G44030	ortholog_one2many	79.5238
AUR62025463	110689730	AT1G30910	ortholog_many2many	63.6066
AUR62029685	110690643	AT5G01810	ortholog_one2many	57.5492
AUR62029721	110690672	AT5G59320	ortholog_many2many	43.2203
AUR62006416	110690704	AT3G08740	ortholog_one2many	62.5
AUR62029794	110690736	AT3G08670	ortholog_one2many	53.3796
AUR62035279	110691264	AT3G25730	ortholog_one2one	51.1002
AUR62026037	110691500	AT5G13630	ortholog_one2one	86.9848
AUR62033251	110692293	AT1G66130	ortholog_one2many	45.7766
AUR62033258	110692301	AT4G30020	ortholog_one2many	70.7915
AUR62035054	110692327	AT5G62280	ortholog_one2many	48
AUR62033289	110692377	AT5G56260	ortholog_one2many	26.0274
AUR62035304	110692461	AT4G13710	ortholog_many2many	76.082
AUR62027208	110692697	AT5G58250	ortholog_one2many	49.7778
AUR62027243	110692724	AT5G66560	ortholog_many2many	60.8087
AUR62027278	110692760	AT5G62320	ortholog_one2many	35.9477
AUR62027306	110692791	AT5G42710	ortholog_one2many	21.7265
AUR62027331	110692822	AT1G32100	ortholog_many2many	70.7395
AUR62029237	110693140	AT3G01440	ortholog_one2one	50.6493
AUR62029246	110693148	AT5G54600	ortholog_one2one	68.3938
AUR62029310	110693197	AT5G54270	ortholog_one2one	88.2576
AUR62035055	110693216	AT5G62280	ortholog_one2many	45.2174
AUR62014619	110693453	AT4G21280	ortholog_many2many	72.4891
AUR62014733	110693543	AT1G05260	ortholog_many2many	62.0061
AUR62016931	110693559	AT1G11130	ortholog_one2many	46.2366
AUR62014763	110693566	AT1G11090	ortholog_one2many	64.7059
AUR62014764	110693567	AT1G11080	ortholog_many2many	65.6184
AUR62014740	110693757	AT4G21585	ortholog_many2many	55.9603
AUR62031392	110693841	AT5G23940	ortholog_one2many	58.3153
AUR62033720	110693902	AT4G03280	ortholog_one2many	76.087
AUR62031452	110693962	AT5G52882	ortholog_many2many	66.6667
AUR62033729	110693992	AT4G03210	ortholog_one2many	67.7852
AUR62014045	110694161	AT1G23740	ortholog_one2many	67.0951
AUR62014075	110694192	AT1G10670	ortholog_many2many	88.4161
AUR62014102	110694210	AT1G68190	ortholog_one2many	26.4831
AUR62014106	110694214	AT1G15080	ortholog_one2many	67.9245
AUR62033755	110694361	AT1G18060	ortholog_one2many	57.7236
AUR62033773	110694521	AT3G18200	ortholog_one2many	61.7251
AUR62013976	110694523	AT1G24020	ortholog_one2many	50.3268
AUR62029429	110694661	AT5G41040	ortholog_one2many	70.3786
AUR62029466	110694697	AT3G51240	ortholog_one2many	78.9189
AUR62029472	110694708	AT5G66190	ortholog_one2many	80.163
AUR62029486	110694724	AT2G17820	ortholog_one2many	61.1618
AUR62027142	110694732	AT4G35250	ortholog_one2many	81.6794
AUR62003003	110695090	AT5G22410	ortholog_one2many	35.6061
AUR62039639	110695418	AT2G28410	ortholog_one2many	28.0303
AUR62037405	110695487	AT2G01755	ortholog_one2many	38.2514
AUR62037443	110695532	AT5G43080	ortholog_many2many	52.7415
AUR62042742	110695711	AT2G45580	ortholog_many2many	45.674
AUR62000077	110695977	AT3G45140	ortholog_one2many	55.9693
AUR62013570	110695989	AT5G10390	ortholog_one2one	100
AUR62000091	110695993	AT3G50820	ortholog_one2many	77.9456
AUR62000097	110696003	AT3G20860	ortholog_one2one	41.2668
AUR62006078	110696141	AT5G53020	ortholog_one2one	34.2857
AUR62000032	110696149	AT1G60870	ortholog_one2one	53.7415
AUR62038733	110696281	AT2G24390	ortholog_one2many	52.2472
AUR62041779	110696381	AT2G37090	ortholog_one2many	52.4355
AUR62003136	110696438	AT2G03420	ortholog_one2many	48.3871
AUR62022411	110696553	AT4G33330	ortholog_one2many	58.4843
AUR62022419	110696559	AT5G42750	ortholog_one2many	38.4615
AUR62022467	110696604	AT4G37680	ortholog_many2many	64.7059
AUR62041647	110696937	AT5G02540	ortholog_many2many	64.8318
AUR62021255	110697132	AT5G51950	ortholog_many2many	58.1152
AUR62021263	110697137	AT5G51890	ortholog_one2many	67.1875
AUR62035055	110697369	AT5G62280	ortholog_one2many	45.2174
AUR62034612	110697812	AT4G03140	ortholog_one2many	58.6667
AUR62034644	110697876	AT3G62930	ortholog_many2many	61.7647
AUR62034654	110697885	AT1G03020	ortholog_many2many	66.3551
AUR62026350	110698113	AT4G39730	ortholog_many2many	48.4211
AUR62026177	110698140	AT4G35690	ortholog_many2many	27.5
AUR62026375	110698148	AT4G35720	ortholog_many2many	32.7869
AUR62011377	110698515	AT3G18900	ortholog_one2many	33.7302
AUR62011395	110698535	AT1G49450	ortholog_many2many	48.5772
AUR62011439	110698584	AT3G48690	ortholog_many2many	43.1677
AUR62011606	110698729	AT1G80390	ortholog_one2many	26.4706
AUR62011659	110698783	AT1G52230	ortholog_many2many	81.9444
AUR62036844	110699013	AT1G61520	ortholog_one2many	87.2263
AUR62036858	110699022	AT1G76310	ortholog_many2many	60.4027
AUR62036870	110699031	AT1G20560	ortholog_one2many	67.9212
AUR62022792	110699181	AT5G02030	ortholog_one2one	35.426
AUR62022802	110699190	AT5G05940	ortholog_one2many	60.2329
AUR62022807	110699195	AT3G55700	ortholog_many2many	47.0852
AUR62022809	110699198	AT3G55700	ortholog_many2many	42.1978
AUR62022835	110699228	AT3G55800	ortholog_one2one	79.8969
AUR62022843	110699237	AT2G39980	ortholog_one2one	65.7841
AUR62022861	110699256	AT2G38120	ortholog_many2many	80.6584
AUR62022878	110699274	AT2G40080	ortholog_one2many	41.9118
AUR62022927	110699317	AT5G05500	ortholog_one2one	41.8478
AUR62022956	110699347	AT3G56100	ortholog_one2one	38.1795
AUR62022783	110699442	AT3G09925	ortholog_one2many	44.0678
AUR62039539	110699944	AT1G70720	ortholog_one2many	42.9952
AUR62037059	110700018	AT5G17770	ortholog_one2one	80.2158
AUR62037072	110700033	AT5G17710	ortholog_one2one	51.0264
AUR62036022	110700126	AT3G63170	ortholog_one2one	42.7083
AUR62008326	110700501	AT1G04280	ortholog_one2many	66.9456
AUR62008352	110700531	AT3G47980	ortholog_many2many	54.3568
AUR62021741	110700537	AT1G74730	ortholog_one2many	64.2105
AUR62008385	110700567	AT5G62500	ortholog_many2many	62.5455
AUR62035519	110700576	AT3G01680	ortholog_one2many	38.6755
AUR62008422	110700602	AT3G47520	ortholog_one2many	67.7184
AUR62008430	110700609	AT3G47470	ortholog_one2many	81.9608
AUR62008547	110700718	AT5G08050	ortholog_one2many	62.5
AUR62035540	110700727	AT1G12900	ortholog_one2many	79.8122
AUR62008415	110700800	AT5G15230	ortholog_many2many	47.9592
AUR62008143	110700848	AT4G24700	ortholog_one2many	36.2416
AUR62006623	110701056	AT5G36700	ortholog_many2many	75.4768
AUR62006659	110701098	AT4G12800	ortholog_one2many	80.5556
AUR62006668	110701104	AT5G16530	ortholog_one2many	64.0541
AUR62006769	110701196	AT5G49600	ortholog_one2many	34.0102
AUR62006773	110701201	AT4G15510	ortholog_one2many	58.2418
AUR62006877	110701301	AT5G09220	ortholog_many2many	79.2181
AUR62006883	110701306	AT5G63800	ortholog_one2one	59.5628
AUR62006983	110701397	AT3G04340	ortholog_one2many	54.1382
AUR62006992	110701407	AT5G18460	ortholog_one2many	67.7346
AUR62006850	110701465	AT4G30770	ortholog_one2many	25.5924
AUR62017605	110701847	AT2G42850	ortholog_one2one	55.4878
AUR62017505	110701888	AT2G05070	ortholog_one2many	87.8788
AUR62017547	110701920	AT2G04790	ortholog_one2many	48.0226
AUR62017594	110701965	AT1G06550	ortholog_one2one	74.4125
AUR62017598	110701972	AT5G50890	ortholog_one2one	64.0103
AUR62017696	110702076	AT5G23120	ortholog_one2one	76.2755
AUR62017702	110702083	AT5G23190	ortholog_many2many	67.2414
AUR62032976	110702086	AT5G23210	ortholog_one2many	62.6775
AUR62017747	110702136	AT5G23420	ortholog_many2many	48.8038
AUR62038043	110702213	AT1G19630	ortholog_one2many	54.1082
AUR62017239	110702457	AT4G11640	ortholog_one2one	70.4268
AUR62017313	110702524	AT4G11850	ortholog_many2many	66.1538
AUR62017317	110702528	AT2G47060	ortholog_many2many	77.9006
AUR62017321	110702533	AT3G06460	ortholog_one2many	47.5472
AUR62017370	110702576	AT4G12060	ortholog_one2one	51.046
AUR62017440	110702640	AT3G26700	ortholog_one2many	65.4354
AUR62029934	110702835	AT3G18200	ortholog_one2many	62.1622
AUR62029828	110702856	AT3G48500	ortholog_one2one	70.5989
AUR62016320	110703221	AT1G52510	ortholog_one2many	72.1925
AUR62016338	110703237	AT3G15840	ortholog_one2many	59.0106
AUR62016551	110703448	AT3G25110	ortholog_many2many	67.0241
AUR62036715	110703616	AT1G76080	ortholog_one2many	63.4868
AUR62023226	110703632	AT1G66430	ortholog_one2one	73.4694
AUR62042445	110703815	AT2G25790	ortholog_one2one	51.5312
AUR62034908	110704063	AT1G71740	ortholog_one2one	44.3548
AUR62030629	110704475	AT3G56330	ortholog_one2one	57.277
AUR62030676	110704520	AT5G17450	ortholog_one2many	58
AUR62039937	110704593	AT1G70840	ortholog_many2many	45.0331
AUR62039918	110704598	AT1G62780	ortholog_one2many	62.7119
AUR62039919	110704599	AT1G62770	ortholog_many2many	42.2535
AUR62039945	110704624	AT1G12110	ortholog_one2many	62.9568
AUR62032763	110704688	AT2G20890	ortholog_one2many	69.6864
AUR62032697	110704771	AT5G14602	ortholog_many2many	47.2527
AUR62032724	110704793	AT1G64740	ortholog_one2many	86.8304
AUR62016864	110704923	AT4G34770	ortholog_one2one	64.0777
AUR62016623	110704968	AT1G49660	ortholog_many2many	41.411
AUR62016632	110704977	AT2G15790	ortholog_one2many	76.7956
AUR62016673	110705024	AT1G49430	ortholog_one2many	64.4377
AUR62016823	110705177	AT2G21330	ortholog_one2many	85.5
AUR62009240	110705304	AT2G25770	ortholog_one2many	49.4186
AUR62009486	110705337	AT5G15802	ortholog_one2one	51.7544
AUR62020591	110705370	AT5G21930	ortholog_one2many	67.6372
AUR62009091	110705387	AT5G19530	ortholog_one2many	68.2493
AUR62009208	110705508	AT3G61470	ortholog_many2many	81.4815
AUR62009297	110705586	AT2G25810	ortholog_one2many	66.6667
AUR62009383	110705673	AT3G08490	ortholog_one2one	28.2322
AUR62009398	110705692	AT3G23890	ortholog_one2one	57.5287
AUR62036015	110706080	AT5G39390	ortholog_one2many	21.1483
AUR62027757	110706486	AT2G33180	ortholog_one2many	51.634
AUR62027878	110706697	AT3G12500	ortholog_one2many	64.6875
AUR62027877	110706698	AT3G12500	ortholog_one2many	63.6923
AUR62016994	110706896	AT4G04955	ortholog_one2many	70.1789
AUR62005328	110707009	AT1G24020	ortholog_one2many	49.6732
AUR62017164	110707070	AT1G55760	ortholog_one2one	70.1219
AUR62017158	110707092	AT5G44600	ortholog_one2many	42.2156
AUR62026037	110707283	AT5G13630	ortholog_one2one	86.9848
AUR62009606	110707432	AT2G28740	ortholog_one2many	100
AUR62032012	110707497	AT4G15920	ortholog_many2many	55.9184
AUR62032050	110707527	AT5G14602	ortholog_many2many	47.2527
AUR62032095	110707565	AT5G14910	ortholog_one2one	46.7391
AUR62013368	110707935	AT2G26690	ortholog_one2one	74.1438
AUR62014075	110709049	AT1G10670	ortholog_many2many	88.4161
AUR62043666	110709136	AT1G68010	ortholog_one2many	90.1554
AUR62005447	110709227	AT1G10700	ortholog_one2many	70.7617
AUR62037916	110709283	AT5G03795	ortholog_one2many	54.1199
AUR62024274	110709378	AT1G67900	ortholog_one2many	69.9367
AUR62005493	110709565	AT1G67830	ortholog_one2many	50.3817
AUR62019027	110709735	AT5G58260	ortholog_one2many	60.9649
AUR62019101	110709804	AT5G49690	ortholog_one2many	50.324
AUR62019137	110709847	AT4G13770	ortholog_one2many	43.8878
AUR62005520	110709905	AT1G24530	ortholog_one2many	56.3107
AUR62036675	110709992	AT1G51060	ortholog_one2many	65.9864
AUR62020714	110710195	AT2G30520	ortholog_one2many	70.2238
AUR62020768	110710251	AT5G60390	ortholog_many2many	93.9597
AUR62020802	110710349	AT3G45650	ortholog_many2many	42.8571
AUR62030360	110710556	AT5G51970	ortholog_one2many	73.2044
AUR62030819	110710764	AT4G14690	ortholog_many2many	53.0612
AUR62043339	110711061	AT3G09925	ortholog_one2many	45.7627
AUR62005641	110711207	AT3G27030	ortholog_one2one	65.2174
AUR62043148	110711352	AT5G03170	ortholog_one2many	58.0247
AUR62041453	110711378	AT2G34810	ortholog_one2one	44.7514
AUR62005659	110711398	AT2G35450	ortholog_one2one	63.0177
AUR62040985	110711452	AT4G20260	ortholog_one2many	50.2439
AUR62018443	110711517	AT3G56940	ortholog_one2many	87.0324
AUR62018548	110711609	AT4G15550	ortholog_many2many	47.0954
AUR62018485	110711639	AT4G33820	ortholog_many2many	39.8649
AUR62018487	110711695	AT3G28040	ortholog_one2many	59.2262
AUR62025154	110711840	AT4G03280	ortholog_one2many	76.087
AUR62025145	110711856	AT4G03210	ortholog_one2many	67.1141
AUR62005718	110711942	AT5G13400	ortholog_one2one	75.7235
AUR62025113	110711978	AT5G21105	ortholog_many2many	60.477
AUR62025143	110712034	AT2G41510	ortholog_one2many	58.1749
AUR62024284	110712351	AT3G26590	ortholog_many2many	57.656
AUR62024274	110712368	AT1G67900	ortholog_one2many	69.9367
AUR62024143	110712418	AT5G43230	ortholog_one2many	39.5642
AUR62024257	110712424	AT2G26930	ortholog_one2many	67.0854
AUR62024116	110712452	AT1G27920	ortholog_one2many	57.1192
AUR62024149	110712524	AT1G67560	ortholog_one2many	60.0656
AUR62024103	110712574	AT1G42550	ortholog_one2one	54.4496
AUR62005794	110712604	AT1G14210	ortholog_one2many	43.8819
AUR62005804	110712641	AT1G14205	ortholog_one2many	52.3256
AUR62002757	110712689	AT1G15000	ortholog_one2many	56.0538
AUR62005847	110713142	AT1G55480	ortholog_one2many	60.4972
AUR62033680	110713393	AT1G05440	ortholog_one2many	47.0588
AUR62033636	110713424	AT4G14870	ortholog_one2one	37.3494
AUR62005884	110713444	AT5G10560	ortholog_one2many	59.5238
AUR62033631	110713460	AT4G15560	ortholog_many2many	82.3695
AUR62005898	110713544	AT4G37930	ortholog_one2many	86.0194
AUR62026460	110713546	AT1G69870	ortholog_many2many	49.6805
AUR62026375	110713653	AT4G35720	ortholog_many2many	32.7869
AUR62026469	110713805	AT1G59730	ortholog_many2many	25.1163
AUR62026402	110713869	AT4G35770	ortholog_one2many	45.5026
AUR62004579	110713914	AT2G46890	ortholog_one2many	65.5488
AUR62004667	110713999	AT1G71880	ortholog_many2many	62.4046
AUR62004367	110714036	AT4G00430	ortholog_many2many	91.1972
AUR62004370	110714053	AT2G45970	ortholog_many2many	77.0555
AUR62004273	110714100	AT3G53900	ortholog_one2many	61.4232
AUR62004366	110714122	AT1G79040	ortholog_one2many	77.1429
AUR62004402	110714167	AT4G01310	ortholog_one2many	65.1163
AUR62004439	110714220	AT4G01150	ortholog_one2many	63.0952
AUR62004255	110714366	AT2G45600	ortholog_one2one	54.8961
AUR62004468	110714462	AT4G01050	ortholog_one2many	54.6392
AUR62004589	110714492	AT1G72180	ortholog_one2many	54.1284
AUR62004582	110714579	AT1G72190	ortholog_one2many	63.7143
AUR62020828	110714746	AT4G13600	ortholog_one2one	45.3202
AUR62020902	110714750	AT3G23790	ortholog_many2many	62.8223
AUR62020990	110714855	AT3G56940	ortholog_one2many	87.0324
AUR62020858	110715013	AT4G13840	ortholog_many2many	37.6528
AUR62042280	110715224	AT1G70890	ortholog_many2many	41.6667
AUR62039364	110715286	AT2G28950	ortholog_one2many	82.9457
AUR62037321	110715624	AT1G68260	ortholog_many2many	47.3934
AUR62025373	110715734	AT2G24090	ortholog_one2many	56.4103
AUR62025366	110715796	AT2G34640	ortholog_one2many	65.8301
AUR62025294	110715809	AT1G19150	ortholog_one2many	70.9924
AUR62025295	110715810	AT3G42880	ortholog_many2many	46.2133
AUR62025258	110715826	AT5G17850	ortholog_many2many	36.9255
AUR62025307	110715903	AT1G72430	ortholog_many2many	36.9748
AUR62025349	110715976	AT5G17420	ortholog_one2many	85.0386
AUR62025205	110715984	AT1G79340	ortholog_many2many	62.8297
AUR62041803	110716150	AT5G45700	ortholog_many2many	46.5517
AUR62032976	110716267	AT5G23210	ortholog_one2many	62.6775
AUR62017702	110716276	AT5G23190	ortholog_many2many	67.2414
AUR62032905	110716299	AT5G23400	ortholog_one2many	55.7596
AUR62032906	110716300	AT5G23420	ortholog_many2many	50.4762
AUR62037212	110716355	AT2G38750	ortholog_one2one	50.7987
AUR62037213	110716380	AT2G38760	ortholog_one2one	59.306
AUR62031289	110716576	AT1G15820	ortholog_one2many	76.2452
AUR62027370	110716860	AT1G15820	ortholog_one2many	77.6923
AUR62040038	110717251	AT2G37090	ortholog_one2many	51.7143
AUR62002070	110717386	AT4G24340	ortholog_one2many	34.6386
AUR62021708	110717418	AT1G74040	ortholog_many2many	73.4266
AUR62015538	110717427	AT2G33450	ortholog_one2one	61.745
AUR62002594	110717537	AT5G30510	ortholog_one2one	79.3187
AUR62001911	110717594	AT4G34050	ortholog_one2many	84.0637
AUR62023727	110717690	AT2G43880	ortholog_one2many	45.8015
AUR62002312	110717702	AT1G70840	ortholog_many2many	45.098
AUR62002252	110717792	AT5G17520	ortholog_many2many	52.9551
AUR62002432	110717822	AT1G05690	ortholog_one2many	32.5123
AUR62002394	110717854	AT5G67210	ortholog_many2many	57.6687
AUR62002221	110717884	AT5G61480	ortholog_one2many	60.4986
AUR62002494	110717956	AT4G36220	ortholog_many2many	64.4101
AUR62003879	110718122	AT4G37000	ortholog_one2many	47.4843
AUR62001903	110718217	AT2G23360	ortholog_one2many	39.6018
AUR62001992	110718318	AT4G39955	ortholog_one2many	60.3226
AUR62032642	110718382	AT5G07030	ortholog_one2one	62.1053
AUR62002817	110718526	AT3G45140	ortholog_one2many	50.7675
AUR62013050	110718545	AT2G16700	ortholog_one2many	80.4196
AUR62013182	110718675	AT4G38225	ortholog_one2one	49.6042
AUR62040811	110719798	AT1G61520	ortholog_one2many	87.5912
AUR62002913	110719868	AT1G29700	ortholog_one2many	59.7701
AUR62034964	110719967	AT5G17870	ortholog_one2many	48.1481
AUR62043764	110720240	AT4G02050	ortholog_one2many	78.501
AUR62023226	110720321	AT1G66430	ortholog_one2one	73.4694
AUR62023307	110720402	AT1G67090	ortholog_many2many	70.1657
AUR62023314	110720412	AT1G68530	ortholog_many2many	59.9119
AUR62023319	110720415	AT1G68530	ortholog_many2many	78.4114
AUR62023332	110720427	AT2G43030	ortholog_one2many	63.6964
AUR62023363	110720457	AT3G20230	ortholog_one2many	65.7609
AUR62023374	110720471	AT2G44670	ortholog_one2many	41.3462
AUR62002965	110720577	AT1G10780	ortholog_one2many	60.8491
AUR62020398	110720750	AT5G55110	ortholog_many2many	39.7436
AUR62003015	110720877	AT4G34131	ortholog_many2many	53.3898
AUR62020342	110720885	AT5G55220	ortholog_one2one	56.6176
AUR62020347	110720894	AT3G63140	ortholog_one2one	67.7885
AUR62020441	110720957	AT3G20390	ortholog_one2one	68.617
AUR62020489	110720993	AT1G47610	ortholog_one2one	51.1312
AUR62020536	110721028	AT1G11580	ortholog_one2many	50.6261
AUR62020554	110721038	AT1G51100	ortholog_one2one	62.8821
AUR62040310	110721099	AT1G51680	ortholog_many2many	66.3139
AUR62003053	110721356	AT1G03130	ortholog_many2many	74.4076
AUR62013633	110721426	AT1G01360	ortholog_many2many	61.326
AUR62013692	110721485	AT2G45080	ortholog_one2many	71.5596
AUR62013730	110721523	AT3G60370	ortholog_one2many	58.0153
AUR62013792	110721582	AT3G20230	ortholog_one2many	65.2174
AUR62013918	110721694	AT1G20160	ortholog_many2many	54.6753
AUR62028282	110721806	AT1G74960	ortholog_one2many	72.4954
AUR62028300	110721821	AT1G19150	ortholog_one2many	70.6107
AUR62028309	110721831	AT3G43120	ortholog_many2many	63.522
AUR62028352	110721870	AT5G17420	ortholog_one2many	84.9421
AUR62003107	110721970	AT1G13820	ortholog_many2many	64.3713
AUR62002594	110722084	AT5G30510	ortholog_one2one	79.3187
AUR62008553	110722204	AT1G74160	ortholog_many2many	44.1006
AUR62040700	110722304	AT5G06060	ortholog_one2one	67.4074
AUR62040718	110722322	AT5G60020	ortholog_one2many	75.5633
AUR62040719	110722324	AT5G60020	ortholog_one2many	75.6055
AUR62003150	110722459	AT5G65730	ortholog_one2many	72.6962
AUR62019937	110722533	AT1G64700	ortholog_one2many	41.2621
AUR62009606	110722731	AT2G28740	ortholog_one2many	100
AUR62007017	110722735	AT4G10850	ortholog_many2many	40.7666
AUR62019908	110722760	AT4G24090	ortholog_one2many	48.5531
AUR62007052	110722767	AT4G24130	ortholog_one2many	65
AUR62034548	110723309	AT1G75500	ortholog_one2many	78.836
