ONTOLOGY	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	cluster
CC	GO:0042170	plastid membrane	39/127	245/8189	0.159183673469388	10.2642134018962	18.4774210585636	1.43083477210205e-29	1.51032559277439e-28	1.07103421537463e-28	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CP33B/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/MEX1/NA/PRK/LHCB4.2/RIQ2/CURT1A	39	2
CC	GO:0019867	outer membrane	38/127	242/8189	0.15702479338843	10.1250081343138	18.0845920863091	1.48358567782511e-28	1.28127853993987e-27	9.08607496467052e-28	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/At-NEET/NA/PRK/LHCB4.2/RIQ2/CURT1A	38	2
CC	GO:0031968	organelle outer membrane	38/127	242/8189	0.15702479338843	10.1250081343138	18.0845920863091	1.48358567782511e-28	1.28127853993987e-27	9.08607496467052e-28	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/At-NEET/NA/PRK/LHCB4.2/RIQ2/CURT1A	38	2
CC	GO:0009570	chloroplast stroma	38/127	345/8189	0.110144927536232	7.10217961885199	14.5343335499414	8.79721485267809e-23	6.96446175837016e-22	4.93878728571402e-22	LHCA1/SBPASE/PSBQ/TL17/RBCS1A/NA/NA/MET1/NA/ACA1/NA/LHCB2/OE23/NA/LHCA3/bL9c/AtFAP1/CP33B/PSAF/NA/ATLOX2/NA/ATNDPK2/PSAL/HCF136/At-NEET/NA/PDE312/PRK/HMR/PRPL3/NA/ATPGLP1/CURT1A/ARRPS1/CSP41A/ACHT1/PYRR	38	2
CC	GO:0009532	plastid stroma	38/127	350/8189	0.108571428571429	7.00071991001125	14.4004620368706	1.48380766283703e-22	1.08432098438091e-21	7.68936764547127e-22	LHCA1/SBPASE/PSBQ/TL17/RBCS1A/NA/NA/MET1/NA/ACA1/NA/LHCB2/OE23/NA/LHCA3/bL9c/AtFAP1/CP33B/PSAF/NA/ATLOX2/NA/ATNDPK2/PSAL/HCF136/At-NEET/NA/PDE312/PRK/HMR/PRPL3/NA/ATPGLP1/CURT1A/ARRPS1/CSP41A/ACHT1/PYRR	38	2
CC	GO:0098588	bounding membrane of organelle	40/127	451/8189	0.0886917960088692	5.71887494107582	12.9384352484244	1.7176667300277e-20	1.16555956680451e-19	8.26546396404306e-20	PSBR/CAB4/LHCB3/LHCA1/CP24/NA/TROL/PSBQ/TL17/IRX9/EDA3/PSAK/LHCB4.3/RBCS1A/NA/PSAH-2/MET1/PSAD-2/LHCB2/OE23/PSBW/NdhN/LHCA3/LHCA2/ACSF/PETC/CHLM/PSAF/DEG1/ATLOX2/PAM68L/PSAL/HCF136/At-NEET/NA/PRK/AtSWEET17/LHCB4.2/RIQ2/CURT1A	40	2
CC	GO:0009941	chloroplast envelope	31/127	299/8189	0.103678929765886	6.68525004608538	12.5694433080206	9.42651585712026e-18	5.9701267095095e-17	4.23366326214524e-17	CAB4/LHCA1/CP24/NA/SBPASE/TROL/RBCS1A/MET1/PSAD-2/LHCB2/OE23/STR10/NdhN/NA/ACSF/bL9c/PETC/AtFAP1/CHLM/PSAF/ATLOX2/NA/ATNDPK2/PSAL/HCF136/MEX1/PRK/PRPL3/LHCB4.2/CURT1A/CSP41A	31	2
CC	GO:0009521	photosystem	9/127	28/8189	0.321428571428571	20.7258155230596	13.1223517363904	2.10180207686988e-10	1.24794498314149e-09	8.84969295524161e-10	PSBR/CP24/PSAH-2/PSAD-2/LHCB2/OE23/LHCA2/PSAF/PSAL	9	2
CC	GO:0009522	photosystem I	6/127	10/8189	0.6	38.688188976378	14.9666480249166	2.46744633761536e-09	1.37886707102035e-08	9.77811551748503e-09	PSAH-2/PSAD-2/LHCB2/LHCA2/PSAF/PSAL	6	2
CC	GO:0010287	plastoglobule	7/127	28/8189	0.25	16.1200787401575	10.0584430224606	1.65098689269573e-07	8.71354193367188e-07	6.17913222997231e-07	LHCA1/LHCB2/LHCA3/PSAF/PSAL/CURT1A/CSP41A	7	2
CC	GO:0031977	thylakoid lumen	6/127	33/8189	0.181818181818182	11.7236936292054	7.74697473922825	9.71203361679035e-06	4.85601680839518e-05	3.4436019472276e-05	PSBQ/TL17/RBCS1A/OE23/DEG1/HCF136	6	2
CC	GO:0048046	apoplast	9/127	109/8189	0.0825688073394495	5.32406270317128	5.70386098320205	4.51102190991842e-05	0.000214273540721125	0.000151950211702515	SBPASE/RBCS1A/ATSBT5.2/NA/OE23/PRK/NA/ATHPR1/CSP41A	9	2
CC	GO:0009543	chloroplast thylakoid lumen	5/127	27/8189	0.185185185185185	11.9407990667833	7.14664170649121	5.09000233805374e-05	0.000219795555506866	0.000155866100304038	PSBQ/TL17/OE23/DEG1/HCF136	5	2
CC	GO:0031978	plastid thylakoid lumen	5/127	27/8189	0.185185185185185	11.9407990667833	7.14664170649121	5.09000233805374e-05	0.000219795555506866	0.000155866100304038	PSBQ/TL17/OE23/DEG1/HCF136	5	2
CC	GO:0009523	photosystem II	4/127	21/8189	0.19047619047619	12.2819647544057	6.49689580896484	0.000269132214181264	0.00111163305857478	0.000788304883643061	PSBR/CP24/LHCB2/OE23	4	2
CC	GO:0098796	membrane protein complex	12/127	245/8189	0.0489795918367347	3.15821950827575	4.30455656203418	0.000400644043645194	0.00158588267276223	0.00112461485935493	PSBR/LHCB3/CP24/TROL/PSAH-2/ATSYP111/PSAD-2/LHCB2/OE23/LHCA2/PSAF/PSAL	12	2
CC	GO:0098807	chloroplast thylakoid membrane protein
complex	3/127	11/8189	0.272727272727273	17.5855404438082	6.90830968293252	0.000548821627228225	0.00208552218346725	0.00147892985863606	LHCB3/TROL/LHCB2	3	2
MF	GO:0016168	chlorophyll binding	8/127	12/8124	0.666666666666667	42.6456692913386	18.192527378562	1.3424331839218e-12	2.57747171312985e-10	2.5435576116413e-10	CAB4/LHCA1/CP24/LHCB4.3/LHCB2/LHCA3/LHCA2/LHCB4.2	8	2
MF	GO:0046906	tetrapyrrole binding	8/127	62/8124	0.129032258064516	8.25400050800102	7.22517829472062	4.76406939300889e-06	0.000457350661728853	0.000451332889864	CAB4/LHCA1/CP24/LHCB4.3/LHCB2/LHCA3/LHCA2/LHCB4.2	8	2
MF	GO:0003727	single-stranded RNA binding	4/127	23/8124	0.173913043478261	11.1249572064362	6.12751435476935	0.000400599874038478	0.0256383919384626	0.0253010446761144	AtC3H23/OE23/ATHPR1/CSP41A	4	2
MF	GO:0008187	poly-pyrimidine tract binding	3/127	12/8124	0.25	15.992125984252	6.54917226862963	0.000740391415621647	0.0284310303598712	0.0280569378551361	OE23/ATHPR1/CSP41A	3	2
MF	GO:0008266	poly(U) RNA binding	3/127	12/8124	0.25	15.992125984252	6.54917226862963	0.000740391415621647	0.0284310303598712	0.0280569378551361	OE23/ATHPR1/CSP41A	3	2
BP	GO:0042440	pigment metabolic process	5/29	82/6419	0.0609756097560976	13.4966358284272	7.67196499957985	2.80865309404912e-05	0.00610987609776385	0.00536272117279913	UGT73B3/PSB29/GBP/AtCLA1/ACLA-1	5	3
BP	GO:0008610	lipid biosynthetic process	7/29	233/6419	0.0300429184549356	6.6498446055942	5.91776795781715	5.97592765547146e-05	0.00610987609776385	0.00536272117279913	D27-LIKE1/PAS2/AtCER6/ATKAS2/LBO1/AtCLA1/ACLA-1	7	3
BP	GO:0006778	porphyrin-containing compound
metabolic process	4/29	50/6419	0.08	17.7075862068966	7.98935123877695	6.70418603027635e-05	0.00610987609776385	0.00536272117279913	PSB29/GBP/AtCLA1/ACLA-1	4	3
BP	GO:0033013	tetrapyrrole metabolic process	4/29	51/6419	0.0784313725490196	17.3603786342123	7.90178734076463	7.25207845431911e-05	0.00610987609776385	0.00536272117279913	PSB29/GBP/AtCLA1/ACLA-1	4	3
BP	GO:0016114	terpenoid biosynthetic process	4/29	64/6419	0.0625	13.8340517241379	6.95095410586263	0.000177052286637413	0.00994443676613467	0.00872836711317771	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4	3
BP	GO:0046148	pigment biosynthetic process	4/29	64/6419	0.0625	13.8340517241379	6.95095410586263	0.000177052286637413	0.00994443676613467	0.00872836711317771	UGT73B3/GBP/AtCLA1/ACLA-1	4	3
BP	GO:0008299	isoprenoid biosynthetic process	4/29	72/6419	0.0555555555555556	12.2969348659004	6.49368249294677	0.000279609554676228	0.0134612028465555	0.0118150804306797	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4	3
BP	GO:0006721	terpenoid metabolic process	4/29	79/6419	0.0506329113924051	11.2073330423396	6.14935588610463	0.000399531470209332	0.0165962882523051	0.014566787439943	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4	3
BP	GO:0006779	porphyrin-containing compound
biosynthetic process	3/29	34/6419	0.0882352941176471	19.5304259634888	7.29781477919718	0.000451628750423741	0.0165962882523051	0.014566787439943	GBP/AtCLA1/ACLA-1	3	3
BP	GO:0033014	tetrapyrrole biosynthetic process	3/29	35/6419	0.0857142857142857	18.9724137931034	7.18195067981367	0.000492471461492734	0.0165962882523051	0.014566787439943	GBP/AtCLA1/ACLA-1	3	3
BP	GO:0015994	chlorophyll metabolic process	3/29	38/6419	0.0789473684210526	17.4745916515426	6.86136481248663	0.000629003318111017	0.0176729707621051	0.0155118062912745	PSB29/AtCLA1/ACLA-1	3	3
BP	GO:0006720	isoprenoid metabolic process	4/29	89/6419	0.0449438202247191	9.94808213870593	5.72626624176718	0.000629304596870212	0.0176729707621051	0.0155118062912745	D27-LIKE1/LBO1/AtCLA1/ACLA-1	4	3
BP	GO:0006629	lipid metabolic process	7/29	378/6419	0.0185185185185185	4.09897828863346	4.18367983572808	0.00117050099728455	0.0303429873911457	0.0266324518410493	D27-LIKE1/PAS2/AtCER6/ATKAS2/LBO1/AtCLA1/ACLA-1	7	3
BP	GO:1901336	lactone biosynthetic process	2/29	13/6419	0.153846153846154	34.053050397878	8.03596767389479	0.00149066542682452	0.0358824463457045	0.031494510145691	D27-LIKE1/LBO1	2	3
BP	GO:0000038	very long-chain fatty acid metabolic
process	2/29	15/6419	0.133333333333333	29.5126436781609	7.44742058591741	0.00199545377117021	0.0404863613082485	0.0355354287915596	PAS2/AtCER6	2	3
BP	GO:0016106	sesquiterpenoid biosynthetic process	2/29	15/6419	0.133333333333333	29.5126436781609	7.44742058591741	0.00199545377117021	0.0404863613082485	0.0355354287915596	D27-LIKE1/LBO1	2	3
BP	GO:0006631	fatty acid metabolic process	4/29	122/6419	0.0327868852459016	7.25720746184285	4.70047827177263	0.00204233870100957	0.0404863613082485	0.0355354287915596	PAS2/AtCER6/ATKAS2/ACLA-1	4	3
BP	GO:0010025	wax biosynthetic process	2/29	17/6419	0.117647058823529	26.0405679513185	6.96400744964687	0.00257015458346992	0.0455864260331244	0.0400118248174542	AtCER6/ACLA-1	2	3
BP	GO:0010166	wax metabolic process	2/29	17/6419	0.117647058823529	26.0405679513185	6.96400744964687	0.00257015458346992	0.0455864260331244	0.0400118248174542	AtCER6/ACLA-1	2	3
BP	GO:1901334	lactone metabolic process	2/29	18/6419	0.111111111111111	24.5938697318008	6.75242769459381	0.00288334220787141	0.0481572449005899	0.0422682674279736	D27-LIKE1/LBO1	2	3
BP	GO:0006633	fatty acid biosynthetic process	3/29	65/6419	0.0461538461538462	10.2159151193634	5.0306020733922	0.0030008965665056	0.0481572449005899	0.0422682674279736	PAS2/ATKAS2/ACLA-1	3	3
CC	GO:0005618	cell wall	6/42	245/8189	0.0244897959183673	4.77492711370262	4.30711729671666	0.00143312310279634	0.0365557687718714	0.0351336908104943	XTH9/GASA1/ATGER3/BGAL3/ATCBR/NA	6	3
CC	GO:0030312	external encapsulating structure	6/42	250/8189	0.024	4.67942857142857	4.24211252021842	0.00158938125095093	0.0365557687718714	0.0351336908104943	XTH9/GASA1/ATGER3/BGAL3/ATCBR/NA	6	3
