ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type
AUR62039310	110732040	AT2G26560	ortholog_one2many
AUR62025463	110689730	AT5G44720	ortholog_many2many
AUR62025463	110689730	AT1G30910	ortholog_many2many
AUR62013422	110725726	AT1G77330	ortholog_one2many
AUR62001155	110703411	AT3G07310	ortholog_many2many
AUR62001155	110703411	AT5G48590	ortholog_many2many
AUR62001155	110687797	AT3G07310	ortholog_many2many
AUR62001155	110687797	AT5G48590	ortholog_many2many
AUR62020093	110688306	AT5G58910	ortholog_one2many
AUR62020093	110683416	AT5G58910	ortholog_one2many
AUR62007544	110685767	AT4G34910	ortholog_one2many
AUR62016646	110704991	AT2G15860	ortholog_one2many
AUR62012898	110740092	AT5G64330	ortholog_one2many
AUR62012898	110738086	AT5G64330	ortholog_one2many
AUR62029444	110694680	AT3G26890	ortholog_many2many
AUR62029444	110694680	AT5G41110	ortholog_many2many
AUR62043467	110731323	AT1G11840	ortholog_one2many
AUR62043467	110703040	AT1G11840	ortholog_one2many
AUR62006096	110728671	AT3G49220	ortholog_one2one
AUR62033432	110729112	AT2G38050	ortholog_one2one
AUR62008210	110700392	AT4G22720	ortholog_one2many
AUR62032569	110718121	AT3G12270	ortholog_one2many
AUR62002174	110717647	AT5G46050	ortholog_many2many
AUR62002174	110717647	AT5G46040	ortholog_many2many
AUR62033234	110692267	AT5G57345	ortholog_one2one
AUR62027600	110689130	AT3G66656	ortholog_many2many
AUR62027600	110689130	AT2G34440	ortholog_many2many
AUR62016881	110704924	AT4G34800	ortholog_one2many
AUR62040327	110734723	AT5G14780	ortholog_one2many
AUR62003767	110682186	AT4G39800	ortholog_many2many
AUR62003767	110682186	AT5G10170	ortholog_many2many
AUR62003767	110682186	AT2G22240	ortholog_many2many
AUR62043818	110711222	AT5G03530	ortholog_many2many
AUR62043818	110711222	AT3G09910	ortholog_many2many
AUR62043818	110706152	AT5G03530	ortholog_many2many
AUR62043818	110706152	AT3G09910	ortholog_many2many
AUR62020228	110683567	AT5G22120	ortholog_one2many
AUR62021833	110731228	AT4G17230	ortholog_one2one
AUR62003013	110720850	AT4G34135	ortholog_many2many
AUR62003013	110720850	AT2G15490	ortholog_many2many
AUR62003013	110720850	AT4G34131	ortholog_many2many
AUR62003013	110720850	AT4G34138	ortholog_many2many
AUR62003013	110720850	AT2G15480	ortholog_many2many
AUR62001307	110687927	AT3G13040	ortholog_one2many
AUR62040075	110690117	AT5G42660	ortholog_one2many
AUR62017442	110702341	AT5G57840	ortholog_one2many
AUR62028623	110727496	AT3G07570	ortholog_one2many
AUR62007863	110686064	AT1G26270	ortholog_one2one
AUR62026103	110707345	AT3G54760	ortholog_one2many
AUR62020432	110720950	AT4G26950	ortholog_one2one
AUR62026152	110707388	AT5G04020	ortholog_one2many
AUR62013482	110725788	AT1G77090	ortholog_one2one
AUR62006636	110701073	AT1G65290	ortholog_one2many
AUR62006149	110729213	AT5G24120	ortholog_one2one
AUR62006149	110696066	AT5G24120	ortholog_one2one
AUR62023525	110725215	AT2G46890	ortholog_one2many
AUR62009867	110684359	AT5G26210	ortholog_one2many
AUR62042385	110710090	AT5G02160	ortholog_one2one
AUR62033039	110713236	AT1G73050	ortholog_one2one
AUR62037784	110739000	AT3G12400	ortholog_many2many
AUR62037784	110739000	AT5G13860	ortholog_many2many
AUR62003584	110681992	AT4G33470	ortholog_one2one
AUR62007476	110732742	AT4G12430	ortholog_many2many
AUR62007476	110732742	AT4G22590	ortholog_many2many
AUR62021238	110729713	AT5G52040	ortholog_one2many
AUR62021238	110729713	AT4G25500	ortholog_one2many
AUR62025583	110726669	AT1G70190	ortholog_many2many
AUR62025583	110726669	AT2G03130	ortholog_many2many
AUR62023359	110721588	AT2G13560	ortholog_one2many
AUR62023359	110720454	AT2G13560	ortholog_one2many
AUR62033680	110713393	AT1G05440	ortholog_one2many
AUR62002738	110709745	AT1G30070	ortholog_one2many
AUR62020030	110683345	AT5G59260	ortholog_many2many
AUR62020030	110683345	AT5G59270	ortholog_many2many
AUR62011511	110698643	AT1G80040	ortholog_one2many
AUR62019835	110722686	AT1G64400	ortholog_one2many
AUR62019835	110722686	AT4G11030	ortholog_one2many
AUR62019835	110722686	AT4G23850	ortholog_one2many
AUR62022016	110731396	AT4G21210	ortholog_one2many
AUR62022016	110731396	AT3G01200	ortholog_one2many
AUR62009738	110684227	AT5G22410	ortholog_one2many
AUR62041036	110735274	AT2G37530	ortholog_one2many
AUR62012947	110736919	AT4G35210	ortholog_many2many
AUR62012947	110736919	AT4G35200	ortholog_many2many
AUR62012947	110736919	AT2G17080	ortholog_many2many
AUR62012947	110736919	AT2G17070	ortholog_many2many
AUR62026280	110698196	AT1G69880	ortholog_many2many
AUR62026280	110698196	AT1G59730	ortholog_many2many
AUR62039637	110695415	AT5G60640	ortholog_one2many
AUR62007826	110686033	AT3G02360	ortholog_one2many
AUR62012072	110734555	AT3G57880	ortholog_one2many
AUR62012072	110734555	AT1G51570	ortholog_one2many
AUR62044399	110739068	AT5G64816	ortholog_one2many
AUR62044399	110692654	AT5G64816	ortholog_one2many
AUR62035097	110692949	AT4G25270	ortholog_one2one
AUR62034332	110682772	AT1G57720	ortholog_many2many
AUR62034332	110682772	AT1G09640	ortholog_many2many
AUR62025067	110711837	AT1G05270	ortholog_many2many
AUR62025067	110711837	AT2G32340	ortholog_many2many
AUR62041351	110706246	AT2G37650	ortholog_one2one
AUR62037878	110709239	AT2G20570	ortholog_many2many
AUR62037878	110709239	AT5G44190	ortholog_many2many
AUR62004144	110714056	AT3G60510	ortholog_one2many
AUR62004056	110682490	AT2G18390	ortholog_one2many
AUR62003740	110717900	AT4G35490	ortholog_one2many
AUR62003740	110682156	AT4G35490	ortholog_one2many
AUR62041461	110711373	AT2G47910	ortholog_one2one
AUR62039339	110732058	AT4G37780	ortholog_one2many
AUR62009445	110705736	AT5G15830	ortholog_one2one
AUR62011337	110698484	AT4G01830	ortholog_many2many
AUR62011337	110698484	AT4G01820	ortholog_many2many
AUR62011337	110698484	AT3G62150	ortholog_many2many
AUR62011337	110698484	AT1G02520	ortholog_many2many
AUR62011337	110698484	AT2G47000	ortholog_many2many
AUR62011337	110698484	AT1G02530	ortholog_many2many
AUR62008448	110700627	AT5G07710	ortholog_many2many
AUR62008448	110700627	AT5G61390	ortholog_many2many
AUR62008448	110700627	AT1G74390	ortholog_many2many
AUR62006753	110701178	AT1G56423	ortholog_one2many
AUR62039222	110689616	AT1G08280	ortholog_one2many
AUR62025961	110707208	AT3G19070	ortholog_one2one
AUR62003019	110720952	AT1G68850	ortholog_one2many
AUR62033833	110686366	AT1G75720	ortholog_one2many
AUR62018831	110730287	AT2G30933	ortholog_many2many
AUR62018831	110730287	AT1G09460	ortholog_many2many
AUR62007540	110685763	AT5G65840	ortholog_one2many
AUR62014717	110693524	AT4G21490	ortholog_many2many
AUR62014717	110693524	AT4G05020	ortholog_many2many
AUR62042798	110712867	AT2G18000	ortholog_one2many
AUR62016751	110705104	AT2G21620	ortholog_one2many
AUR62036195	110684628	AT2G27460	ortholog_one2many
AUR62000645	110736737	AT5G18390	ortholog_one2many
AUR62013018	110739116	AT2G16920	ortholog_one2one
AUR62013776	110721564	AT2G47610	ortholog_many2many
AUR62013776	110721564	AT3G62870	ortholog_many2many
AUR62014195	110710946	AT5G13240	ortholog_one2one
AUR62014195	110694435	AT5G13240	ortholog_one2one
AUR62001634	110688251	AT5G58690	ortholog_many2many
AUR62001634	110688251	AT5G58700	ortholog_many2many
AUR62001634	110688251	AT3G47290	ortholog_many2many
AUR62001634	110688251	AT3G47220	ortholog_many2many
AUR62022687	110731462	AT1G01050	ortholog_many2many
AUR62022687	110731462	AT4G01480	ortholog_many2many
AUR62022687	110731462	AT2G46860	ortholog_many2many
AUR62020591	110710131	AT5G21930	ortholog_one2many
AUR62020591	110705370	AT5G21930	ortholog_one2many
AUR62018523	110711762	AT1G05530	ortholog_many2many
AUR62018523	110711762	AT4G14090	ortholog_many2many
AUR62018523	110711762	AT4G15550	ortholog_many2many
AUR62018523	110711762	AT1G05560	ortholog_many2many
AUR62020841	110715009	AT4G13780	ortholog_one2many
AUR62020841	110711477	AT4G13780	ortholog_one2many
AUR62043958	110682860	AT3G53850	ortholog_one2many
AUR62043958	110682860	AT5G02060	ortholog_one2many
AUR62036014	110706079	AT5G13510	ortholog_one2many
AUR62042230	110720266	AT2G47990	ortholog_one2many
AUR62001609	110688224	AT5G21060	ortholog_one2many
AUR62023685	110738636	AT5G01230	ortholog_one2many
AUR62022709	110731692	AT1G35515	ortholog_many2many
AUR62022709	110731692	AT1G22640	ortholog_many2many
AUR62022709	110731692	AT4G09460	ortholog_many2many
AUR62043319	110719076	AT1G76550	ortholog_one2many
AUR62043319	110719076	AT1G20950	ortholog_one2many
AUR62043319	110685556	AT1G76550	ortholog_one2many
AUR62043319	110685556	AT1G20950	ortholog_one2many
AUR62003848	110682266	AT3G50520	ortholog_one2many
AUR62022974	110699367	AT3G56200	ortholog_one2many
AUR62022974	110699367	AT2G40420	ortholog_one2many
AUR62033115	110739226	AT3G62700	ortholog_many2many
AUR62033115	110739226	AT2G47800	ortholog_many2many
AUR62023727	110738535	AT2G43880	ortholog_one2many
AUR62023727	110717690	AT2G43880	ortholog_one2many
AUR62018535	110711756	AT4G14200	ortholog_one2many
AUR62003555	110681968	AT1G23280	ortholog_one2one
AUR62027888	110709755	AT1G21880	ortholog_many2many
AUR62027888	110709755	AT1G77630	ortholog_many2many
AUR62027888	110706707	AT1G21880	ortholog_many2many
AUR62027888	110706707	AT1G77630	ortholog_many2many
AUR62041844	110732182	AT3G08940	ortholog_one2many
AUR62041844	110732182	AT5G01530	ortholog_one2many
AUR62031629	110727052	AT5G39890	ortholog_one2many
AUR62031629	110727052	AT5G15120	ortholog_one2many
AUR62033261	110692305	AT4G29960	ortholog_one2one
AUR62007511	110732778	AT4G16563	ortholog_one2many
AUR62000196	110736300	AT1G62350	ortholog_one2many
AUR62025153	110712134	AT1G27410	ortholog_one2many
AUR62022367	110696520	AT1G57720	ortholog_many2many
AUR62022367	110696520	AT1G09640	ortholog_many2many
AUR62028020	110683797	AT5G18290	ortholog_many2many
AUR62028020	110683797	AT3G04090	ortholog_many2many
AUR62033119	110739232	AT1G02860	ortholog_one2many
AUR62033847	110686380	AT1G19430	ortholog_one2one
AUR62014748	110693554	AT1G61250	ortholog_many2many
AUR62014748	110693554	AT1G11180	ortholog_many2many
AUR62027933	110721258	AT1G35550	ortholog_many2many
AUR62027933	110721258	AT1G07920	ortholog_many2many
AUR62027933	110721258	AT1G07940	ortholog_many2many
AUR62027933	110721258	AT5G60390	ortholog_many2many
AUR62027933	110721258	AT1G07930	ortholog_many2many
AUR62027933	110710250	AT1G35550	ortholog_many2many
AUR62027933	110710250	AT1G07920	ortholog_many2many
AUR62027933	110710250	AT1G07940	ortholog_many2many
AUR62027933	110710250	AT5G60390	ortholog_many2many
AUR62027933	110710250	AT1G07930	ortholog_many2many
AUR62027933	110683726	AT1G35550	ortholog_many2many
AUR62027933	110683726	AT1G07920	ortholog_many2many
AUR62027933	110683726	AT1G07940	ortholog_many2many
AUR62027933	110683726	AT5G60390	ortholog_many2many
AUR62027933	110683726	AT1G07930	ortholog_many2many
AUR62027933	110683730	AT1G35550	ortholog_many2many
AUR62027933	110683730	AT1G07920	ortholog_many2many
AUR62027933	110683730	AT1G07940	ortholog_many2many
AUR62027933	110683730	AT5G60390	ortholog_many2many
AUR62027933	110683730	AT1G07930	ortholog_many2many
AUR62013632	110721425	AT4G01037	ortholog_one2many
AUR62034713	110684819	AT4G14819	ortholog_many2many
AUR62034713	110684819	AT3G22540	ortholog_many2many
AUR62001337	110687955	AT3G20270	ortholog_one2many
AUR62013069	110739588	AT2G21100	ortholog_one2one
AUR62038534	110739136	AT3G02760	ortholog_one2many
AUR62021139	110729613	AT4G25640	ortholog_one2many
AUR62018663	110730134	AT4G17720	ortholog_many2many
AUR62018663	110730134	AT5G46870	ortholog_many2many
AUR62032763	110704688	AT2G20890	ortholog_one2many
AUR62044207	110709520	AT4G26010	ortholog_one2many
AUR62044207	110709520	AT1G34510	ortholog_one2many
AUR62044207	110709520	AT3G03670	ortholog_one2many
AUR62044207	110709520	AT5G17820	ortholog_one2many
AUR62041700	110686992	AT5G61930	ortholog_one2many
AUR62002236	110717994	AT4G38190	ortholog_one2many
AUR62005312	110708011	AT2G03840	ortholog_one2many
AUR62020398	110720750	AT1G50720	ortholog_many2many
AUR62020398	110720750	AT5G55110	ortholog_many2many
AUR62020398	110720750	AT4G26880	ortholog_many2many
AUR62006807	110701233	AT1G09450	ortholog_one2many
AUR62007267	110732521	AT1G32540	ortholog_one2one
AUR62018226	110735147	AT4G14110	ortholog_one2many
AUR62041450	110711374	AT3G46920	ortholog_one2one
AUR62012949	110738584	AT4G35190	ortholog_one2many
AUR62002328	110717368	AT2G31380	ortholog_many2many
AUR62002328	110717368	AT1G06040	ortholog_many2many
AUR62037306	110715440	AT1G68370	ortholog_one2many
AUR62017736	110701858	AT5G08350	ortholog_many2many
AUR62017736	110701858	AT5G23360	ortholog_many2many
AUR62017736	110701858	AT5G23350	ortholog_many2many
AUR62017736	110701858	AT5G23370	ortholog_many2many
AUR62029194	110730907	AT5G02310	ortholog_one2many
AUR62003131	110722270	AT2G03440	ortholog_many2many
AUR62003131	110722270	AT1G13930	ortholog_many2many
AUR62011756	110734243	AT4G01940	ortholog_one2many
AUR62024055	110699718	AT3G58690	ortholog_one2many
AUR62027874	110706692	AT1G09740	ortholog_one2many
AUR62019758	110722604	AT4G11270	ortholog_one2one
AUR62040073	110690119	AT3G05230	ortholog_one2many
AUR62040073	110690119	AT5G27430	ortholog_one2many
AUR62026269	110698030	AT1G27070	ortholog_one2many
AUR62013219	110682272	AT1G19800	ortholog_one2one
AUR62008545	110700716	AT5G08030	ortholog_many2many
AUR62008545	110700716	AT1G74210	ortholog_many2many
AUR62007441	110732708	AT1G61590	ortholog_one2many
AUR62005912	110726847	AT3G03140	ortholog_one2one
AUR62033707	110713438	AT2G37920	ortholog_one2many
AUR62026483	110713646	AT1G10370	ortholog_many2many
AUR62026483	110713646	AT1G10360	ortholog_many2many
AUR62026483	110713646	AT1G69920	ortholog_many2many
AUR62026483	110713646	AT1G69930	ortholog_many2many
AUR62026483	110713646	AT1G27140	ortholog_many2many
AUR62026483	110713646	AT1G27130	ortholog_many2many
AUR62002156	110717830	AT4G27090	ortholog_many2many
AUR62002156	110717830	AT2G20450	ortholog_many2many
AUR62013212	110682184	AT4G38160	ortholog_one2one
AUR62036685	110709996	AT5G35960	ortholog_one2many
AUR62019585	110737802	AT1G78780	ortholog_one2many
AUR62018658	110730131	AT3G08920	ortholog_one2many
AUR62007842	110686043	AT5G05920	ortholog_one2many
AUR62039212	110689603	AT5G22450	ortholog_one2many
AUR62001165	110715331	AT3G07330	ortholog_one2one
AUR62001165	110687805	AT3G07330	ortholog_one2one
AUR62000323	110736434	AT5G16530	ortholog_one2many
AUR62035016	110720026	AT4G36480	ortholog_one2many
AUR62020282	110720824	AT2G24240	ortholog_one2many
AUR62020282	110720824	AT4G30940	ortholog_one2many
AUR62013196	110682089	AT4G38210	ortholog_one2one
AUR62017581	110701950	AT3G10420	ortholog_one2one
AUR62017581	110691897	AT3G10420	ortholog_one2one
AUR62040490	110697713	AT5G67580	ortholog_many2many
AUR62040490	110697713	AT3G49850	ortholog_many2many
AUR62008494	110700665	AT3G54210	ortholog_one2many
AUR62027087	110740054	AT5G09580	ortholog_one2one
AUR62032722	110704791	AT5G19760	ortholog_one2many
AUR62027473	110716848	AT3G04830	ortholog_many2many
AUR62027473	110716848	AT5G28220	ortholog_many2many
AUR62007377	110732643	AT2G35550	ortholog_one2many
AUR62019874	110722727	AT1G64520	ortholog_many2many
AUR62019874	110722727	AT5G42040	ortholog_many2many
AUR62018356	110711603	AT2G41170	ortholog_one2many
AUR62006839	110701266	AT2G13690	ortholog_one2many
AUR62001341	110687958	AT1G50430	ortholog_one2many
AUR62014827	110693624	AT5G58950	ortholog_many2many
AUR62014827	110693624	AT3G46930	ortholog_many2many
AUR62028624	110727497	AT4G39920	ortholog_one2many
AUR62006879	110736636	AT1G73720	ortholog_one2many
AUR62006879	110701303	AT1G73720	ortholog_one2many
AUR62021653	110726431	AT1G18720	ortholog_one2many
AUR62021653	110726431	AT1G74440	ortholog_one2many
AUR62009287	110705577	AT5G11600	ortholog_one2many
AUR62007784	110686006	AT3G25570	ortholog_one2one
AUR62033706	110713462	AT2G48150	ortholog_many2many
AUR62033706	110713462	AT3G63080	ortholog_many2many
AUR62033706	110713461	AT2G48150	ortholog_many2many
AUR62033706	110713461	AT3G63080	ortholog_many2many
AUR62015440	110689299	AT5G57860	ortholog_one2many
AUR62008571	110727821	AT2G47850	ortholog_one2many
AUR62020585	110710152	AT5G21482	ortholog_one2many
AUR62009368	110705657	AT3G52140	ortholog_one2one
AUR62033577	110729382	AT2G36480	ortholog_one2many
AUR62029796	110690739	AT3G08560	ortholog_one2many
AUR62006959	110701373	AT4G33420	ortholog_one2many
AUR62043059	110682883	AT1G79080	ortholog_one2many
AUR62003587	110695167	AT1G14620	ortholog_one2one
AUR62003587	110682001	AT1G14620	ortholog_one2one
AUR62003228	110723226	AT4G37235	ortholog_many2many
AUR62003228	110723226	AT3G50810	ortholog_many2many
AUR62043198	110720053	AT5G04200	ortholog_one2many
AUR62035751	110688727	AT1G47845	ortholog_many2many
AUR62035751	110688727	AT1G47840	ortholog_many2many
AUR62025746	110726828	AT3G48425	ortholog_one2many
AUR62004359	110714207	AT1G01695	ortholog_many2many
AUR62004359	110714207	AT4G00440	ortholog_many2many
AUR62026294	110698053	AT1G05670	ortholog_one2many
AUR62003230	110697660	AT2G23680	ortholog_many2many
AUR62003230	110697660	AT4G37220	ortholog_many2many
AUR62003230	110697660	AT3G50830	ortholog_many2many
AUR62011692	110734178	AT4G01830	ortholog_many2many
AUR62011692	110734178	AT4G01820	ortholog_many2many
AUR62011692	110734178	AT3G62150	ortholog_many2many
AUR62011692	110734178	AT1G02520	ortholog_many2many
AUR62011692	110734178	AT2G47000	ortholog_many2many
AUR62011692	110734178	AT1G02530	ortholog_many2many
AUR62029896	110702922	AT4G35760	ortholog_one2many
AUR62011691	110734177	AT2G46980	ortholog_one2many
AUR62011691	110732947	AT2G46980	ortholog_one2many
AUR62013222	110682306	AT3G19380	ortholog_one2many
AUR62013222	110682306	AT1G49780	ortholog_one2many
AUR62033478	110729150	AT5G20080	ortholog_one2one
AUR62033478	110707899	AT5G20080	ortholog_one2one
AUR62041825	110716107	AT5G45750	ortholog_many2many
AUR62041825	110716107	AT4G18800	ortholog_many2many
AUR62030674	110704517	AT5G55080	ortholog_one2many
AUR62030674	110704517	AT5G20020	ortholog_one2many
AUR62030674	110704517	AT5G55190	ortholog_one2many
AUR62030674	110704517	AT5G20010	ortholog_one2many
AUR62007639	110685610	AT5G17280	ortholog_one2one
AUR62030132	110728506	AT1G30320	ortholog_one2many
AUR62009433	110705724	AT5G13800	ortholog_one2one
AUR62008879	110728089	AT5G48880	ortholog_one2many
AUR62040272	110717091	AT2G42910	ortholog_one2many
AUR62005576	110710513	AT1G67590	ortholog_one2many
AUR62006072	110728464	AT5G24314	ortholog_one2many
AUR62022692	110731672	AT1G35680	ortholog_one2many
AUR62022692	110714234	AT1G35680	ortholog_one2many
AUR62041352	110706251	AT2G38120	ortholog_many2many
AUR62041352	110706251	AT5G01240	ortholog_many2many
AUR62029494	110694732	AT4G35250	ortholog_one2many
AUR62022924	110699466	AT2G39020	ortholog_many2many
AUR62022924	110699466	AT2G39030	ortholog_many2many
AUR62043757	110739583	AT2G18000	ortholog_one2many
AUR62040449	110701689	AT3G54820	ortholog_one2one
AUR62040449	110697673	AT3G54820	ortholog_one2one
AUR62012882	110737976	AT5G54140	ortholog_one2many
AUR62000759	110736847	AT5G27730	ortholog_one2one
AUR62032630	110718369	AT3G12260	ortholog_one2many
AUR62025664	110726750	AT1G50430	ortholog_one2many
AUR62030761	110733875	AT3G51740	ortholog_one2one
AUR62027171	110723857	AT4G39460	ortholog_one2many
AUR62027171	110692666	AT4G39460	ortholog_one2many
AUR62000493	110736596	AT5G64060	ortholog_many2many
AUR62000493	110736596	AT5G09330	ortholog_many2many
AUR62009339	110705629	AT3G45880	ortholog_one2many
AUR62025186	110715804	AT4G09070	ortholog_many2many
AUR62025186	110715804	AT2G28230	ortholog_many2many
AUR62017182	110702408	AT4G23440	ortholog_one2one
AUR62007231	110732481	AT3G59840	ortholog_one2many
AUR62022947	110733494	AT1G71280	ortholog_one2many
AUR62022947	110733494	AT5G05450	ortholog_one2many
AUR62022947	110733494	AT1G71370	ortholog_one2many
AUR62022947	110699336	AT1G71280	ortholog_one2many
AUR62022947	110699336	AT5G05450	ortholog_one2many
AUR62022947	110699336	AT1G71370	ortholog_one2many
AUR62001727	110688351	AT5G59210	ortholog_one2many
AUR62031258	110716773	AT4G28620	ortholog_many2many
AUR62031258	110716773	AT5G58270	ortholog_many2many
AUR62031258	110716773	AT4G28630	ortholog_many2many
AUR62028740	110727591	AT1G64310	ortholog_one2many
AUR62001251	110715496	AT5G50260	ortholog_one2many
AUR62001251	110687867	AT5G50260	ortholog_one2many
AUR62034352	110696509	AT2G39725	ortholog_one2many
AUR62000895	110736971	AT1G54850	ortholog_one2one
AUR62029793	110690733	AT3G08680	ortholog_one2many
