ensembl_gene_id	entrezgene_id	athaliana_eg_homolog_ensembl_gene	athaliana_eg_homolog_orthology_type	athaliana_eg_homolog_perc_id
AUR62000396	110736499	AT1G56430	ortholog_many2many	59.633
AUR62000530	110736634	AT5G09220	ortholog_many2many	79.3814
AUR62000545	110736647	AT1G77510	ortholog_many2many	52.6214
AUR62000945	110737022	AT2G01890	ortholog_one2many	59.5092
AUR62012979	110737723	AT4G25000	ortholog_one2many	61.6822
AUR62038318	110738134	AT1G73000	ortholog_one2many	58.1522
AUR62037212	110738361	AT2G38750	ortholog_one2one	50.7987
AUR62012942	110738533	AT4G35250	ortholog_one2many	81.4249
AUR62023727	110738535	AT2G43880	ortholog_one2many	45.8015
AUR62023735	110738537	AT3G19430	ortholog_one2many	47.7011
AUR62035562	110738843	AT5G53490	ortholog_one2many	67.094
AUR62038521	110739117	AT2G33180	ortholog_one2many	52.2876
AUR62013050	110739383	AT2G16700	ortholog_one2many	80.4196
AUR62013069	110739588	AT2G21100	ortholog_one2one	57.8125
AUR62027040	110739936	AT4G33720	ortholog_many2many	53.6585
AUR62013119	110740036	AT5G17330	ortholog_one2one	82.1643
AUR62027125	110740093	AT4G35270	ortholog_many2many	45.4642
AUR62040207	110740228	AT2G25900	ortholog_one2many	50.1475
AUR62037161	110740325	AT5G21105	ortholog_many2many	61.3288
